Min,Max,Avg,Std,Generation
-6.533662669022485e+46,2.1816241312994993e+37,-1.3067817336596744e+44,2.919019150134831e+45,207
-1.8746377758497753e+45,5.140623766312829e+36,-4.3131829134645814e+42,8.46694993635993e+43,208
-1.6503680737089178e+46,1.712467598325216e+40,-3.318481725804524e+43,7.373282152883464e+44,209
-4.6605691452173235e+44,5.677417536417987e+40,-1.3526445870886499e+42,2.2517809815229286e+43,210
-2.51814630691399e+47,2.9582528069725895e+41,-5.072592720209509e+44,1.125035533019714e+46,211
-3.509703464839516e+45,3.9846577720459324e+38,-7.338693811722625e+42,1.5694826732595903e+44,212
-1.6174584053756498e+46,5.976962236839834e+43,-3.2782099502313193e+43,7.226547325023535e+44,213
-1.5079362957841006e+43,1.8910292407716182e+40,-5.468456555324087e+40,8.677357576641491e+41,214
-4.949067327925273e+45,7.122237358475896e+39,-1.156821519704473e+43,2.2415900547467316e+44,215
-3.189869369877878e+46,3.02515754791439e+42,-1.192040576487672e+44,1.76550322836285e+45,216
-1.63424804569994e+43,1.8839744693868726e+44,3.4040092100749364e+41,8.450656135221664e+42,217
-8.918891042797165e+46,1.9986224862628726e+42,-1.7864242818591013e+44,3.98464862749209e+45,218
-1.455833676334792e+44,5.460401631512353e+40,-3.681574758519538e+41,6.618433572613825e+42,219
-2.1054775207025505e+47,9.338331968534687e+42,-4.210834223459919e+44,9.406561579280783e+45,220
-8.411768900357209e+43,9.406290849195935e+39,-2.885034555839212e+41,4.373843886654397e+42,221
-4.611860036768854e+45,1.9710838365155375e+37,-1.3027099745419406e+43,2.2270033507767796e+44,222
-2.6609754237352587e+42,8.220407673205983e+39,-6.783139053426139e+39,1.2203372030514113e+41,223
-1.9226307099795957e+47,2.6561854905272666e+42,-3.845579518038453e+44,8.589661956681547e+45,224
-1.6208614306885657e+45,2.2162153737125352e+39,-3.2980511025666e+42,7.242281696018147e+43,225
-2.4298784901939197e+44,2.1761481770015596e+40,-6.067443324749602e+41,1.1073494253022313e+43,226
-2.4271359800776837e+46,5.361770150393881e+43,-4.843834888168886e+43,1.0843695381506475e+45,227
-3.8084396370577775e+42,1.1743992090751277e+43,2.4466266596086816e+40,6.0128090711795754e+41,228
-2.939860763022502e+45,3.230413137882174e+43,-6.062971090721486e+42,1.3144563123445032e+44,229
-7.164341407935902e+46,7.414264189443461e+40,-1.4329076066011523e+44,3.200785111021582e+45,230
-1.5994597353799719e+46,7.736560341908417e+40,-3.3410652816660253e+43,7.1510071291724e+44,231
-1.0532730983604795e+47,2.6475264315752747e+40,-2.106558625892723e+44,4.705667700018462e+45,232
-2.104225658032842e+44,4.865941069573797e+39,-4.430371517126379e+41,9.41299962994611e+42,233
-1.3482029993161757e+45,3.5687152469056563e+43,-2.691562026746715e+42,6.027286295444009e+43,234
-6.788388297017949e+43,8.539600908800883e+42,-1.179767221104782e+41,3.05755644075371e+42,235
-1.4881760838663271e+47,2.570039867591542e+44,-3.401289439145117e+44,6.693954649721816e+45,236
-7.960540359271357e+44,1.8159996877697816e+43,-1.6468586620216076e+42,3.5600786610036643e+43,237
-6.018958764438356e+45,8.110884885978151e+43,-1.3776769953137226e+43,2.7240267296051468e+44,238
-3.991228745517362e+44,1.0741879804618854e+41,-9.73645500448876e+41,1.8228271604759367e+43,239
-1.811827717471055e+47,1.1941914202380659e+38,-3.6967616193237595e+44,8.095340151044433e+45,240
-5.4441224458313575e+45,9.078348289351407e+42,-1.2229816490567403e+43,2.4502798637098947e+44,241
-5.0496539423419207e+45,9.620451028990198e+41,-1.0134171672876303e+43,2.2560123551689654e+44,242
-1.1202810525239887e+47,2.0332288831148886e+38,-2.828948143089671e+44,5.071442681036147e+45,243
-1.6813540786306432e+47,2.925449865118667e+38,-3.3675027193858466e+44,7.511704805922492e+45,244
-1.1669734887109239e+45,2.8741297213373556e+42,-2.5392331084262614e+42,5.233353890146528e+43,245
-3.170382680493237e+45,2.9309099803827157e+43,-8.299124706559831e+42,1.482995799896569e+44,246
-6.545764749639845e+44,1.551494981157766e+44,-1.0040049176979942e+42,3.0068001645434926e+43,247
-1.2733440124995658e+47,2.1823271501859396e+42,-2.5521950306715694e+44,5.6888549516969616e+45,248
-2.207252261382224e+43,3.711086432700489e+41,-4.489080081343873e+40,9.866621640775417e+41,249
-9.410401581633218e+42,7.570566572848748e+40,-1.866971305391138e+40,4.204452644367392e+41,250
-8.606131479634597e+45,2.1801276084114642e+41,-2.1166797335002038e+43,3.936195440767849e+44,251
-1.590641018560475e+44,1.4203987575460414e+39,-4.221967454413305e+41,7.460411801137455e+42,252
-2.8371017960005883e+43,1.4849615316501702e+44,2.401306043147736e+41,6.756804000926443e+42,253
-5.612120498425438e+44,2.008680502083979e+40,-1.1224923843397242e+42,2.507305214346634e+43,254
-2.301265422778923e+47,9.331257949026008e+37,-4.689200878680206e+44,1.0282625751363761e+46,255
-7.788828541353349e+46,1.5401975704527082e+41,-1.873977250794997e+44,3.542839124800499e+45,256
-6.030525353269332e+44,6.79940464182672e+35,-1.523738488011622e+42,2.784499350879744e+43,257
-3.759556105428655e+45,3.5731312186347364e+38,-7.563866830749805e+42,1.6796521552550407e+44,258
-6.1308777241052586e+38,6.621325757135284e+38,1.016611215144214e+36,4.444482940044261e+37,259
-4.2726536567501825e+46,1.0089176372875754e+40,-1.2766174028277837e+44,2.12685609748228e+45,260
-1.0098870055275521e+46,1.5034872616428813e+42,-2.3340998031132843e+43,4.55593589478822e+44,261
-8.634154309628121e+46,3.3408896750319675e+38,-1.9267950016061873e+44,3.880325361412609e+45,262
-5.144348817769787e+44,1.1618921146166331e+43,-1.0363769651683708e+42,2.2998164306234926e+43,263
-1.785496851758101e+45,2.861813801948538e+40,-3.584589995191644e+42,7.976992048612036e+43,264
-1.3120037701743375e+46,2.67148622551685e+41,-3.293879955454541e+43,6.046699048685014e+44,265
-2.885074810608818e+44,8.401345627261077e+40,-5.974759327844932e+41,1.289685503331036e+43,266
-1.233628242022706e+45,2.6431030207472243e+40,-3.005870707109447e+42,5.62986075603808e+43,267
-1.324072292642231e+46,1.3763386040829072e+40,-5.346995539442762e+43,7.271838190582097e+44,268
-5.163166127286358e+45,5.161922445916426e+43,-1.19335365237341e+43,2.328186480511703e+44,269
-4.0109104138914754e+46,1.0948847730965079e+39,-9.322240413220332e+43,1.8055626749044318e+45,270
-9.264179848209101e+45,7.171310972813945e+41,-2.0264914080111192e+43,4.155737935529133e+44,271
-3.6067196564735166e+44,3.010047110338747e+36,-9.06996153346229e+41,1.6605298563671341e+43,272
-4.687693293035279e+46,6.7713121744660185e+37,-9.657972985118623e+43,2.0947853124652672e+45,273
-1.3012911954164824e+47,3.1028312017606966e+39,-2.6364994807160063e+44,5.813851795696975e+45,274
-2.0380856237848636e+46,1.06482664298013e+43,-7.794273369662087e+43,1.2122563333459053e+45,275
-2.1215794596414868e+47,2.3272694926133212e+34,-4.255733568041032e+44,9.478468005503313e+45,276
-6.066789461005205e+45,4.197759484616542e+41,-1.6819858814279124e+43,2.868048342465509e+44,277
